strategy,n_simulations,is_mean_bps,is_median_bps,is_std_bps,is_p5_bps,is_p95_bps,cost_mean_usd,cost_std_usd,vwap_mean_bps,avg_child_orders,fill_rate
Immediate,500,9.03643839288385,5.0080581914005275,12.430288033914735,1.2213042751490506,29.769163788709587,1.9471893088619396,3.017953867740039,12.11493144063082,1.0,0.998
TWAP,500,-1.0744552642771854,-1.0630847072957965,44.800592714128875,-70.28038490600294,63.13766907816192,0.1270167304282819,0.0760950224641621,1.763821789577832,60.0,1.0
VWAP,500,-1.0005306747879412,-1.5872554083404928,44.21089932338927,-71.41099965149354,59.92324960547893,0.118171691387975,0.06950010595249921,1.8438605319698065,59.128,0.978
VWAP (aggressive),500,-0.3604051889026709,-1.3772174952801648,37.47943607772858,-60.0872627361841,52.842665853806224,0.1432182469259298,0.0936678360531329,2.538586001419374,49.508,0.99
A-C (λ=0.01),500,-1.07447659307154,-1.0630636246727716,44.793042229257075,-70.27905148046787,63.137096604298804,0.1270166989999901,0.07609500346450455,1.7638422651687642,60.0,1.0
A-C (λ=0.1),500,-1.0746557923037614,-1.062873889859061,44.72573004832471,-70.26705434633419,63.13194448018122,0.12701642504068758,0.0760948348746951,1.7640369710884036,60.0,1.0
A-C (λ=1.0),500,-1.0753166647067272,-1.0609774117729176,44.11021539902574,-70.14744760860124,63.08043740926068,0.12701451859946028,0.0760933881777666,1.7669004657544465,60.0,1.0
A-C (λ=5.0),500,-1.0632005481757907,-1.0464289650121406,42.205327042263015,-69.61247861135689,62.392531976852716,0.12702071673167595,0.07609218634702741,1.7912467496360536,60.0,1.0
