strategy,n_simulations,is_mean_bps,is_median_bps,is_std_bps,is_p5_bps,is_p95_bps,cost_mean_usd,cost_std_usd,vwap_mean_bps,avg_child_orders,fill_rate
Immediate,500,2.654558444083139,1.1044184090441076,7.114013114390591,0.5823672777698535,5.731301200999185,0.012845624160099784,0.01831501917846949,2.3773371709578286,1.0,0.994
TWAP,500,2.7350169290336543,1.4713015596845471,78.30403262635163,-110.41661567800554,110.36970927698246,0.0038686893307775137,0.0035183192868082874,1.7983031678067416,60.0,0.988
VWAP,500,2.341494138106861,2.195566039496047,77.34960541440422,-110.2226995625639,113.12252833148821,0.0037851036739970393,0.0035096191241146754,1.4194795689013584,58.98,0.942
VWAP (aggressive),500,2.002551816019909,1.2974221513406778,70.22534376772849,-90.61892612405731,95.6982736376948,0.003908989302793337,0.0036135251536216074,1.2016033791547593,47.824,0.982
A-C (λ=0.01),500,2.7299090602644474,1.4118351059056102,78.22117465867261,-110.41291038802785,110.36063453855924,0.003868686186378896,0.0035183208613799,1.7937831763178207,60.0,0.988
A-C (λ=0.1),500,2.6891744313601156,1.3106160969364495,77.54554368442723,-110.37957404645836,110.27902303585357,0.003868658907083485,0.0035183343654095517,1.7579075307721872,60.0,0.988
A-C (λ=1.0),500,2.5041593732574734,1.3197114128220815,73.79525555280753,-110.06415687628225,109.46891559672656,0.003868454267707537,0.0035184317722309105,1.6021910159091108,60.0,0.988
A-C (λ=5.0),500,2.337795944179576,1.7055109707967466,67.7741284391706,-106.7495538555689,107.1036398062059,0.0038682629779412257,0.0035186716173624946,1.4914390865077967,60.0,0.988
