strategy,is_mean,is_std,cost_mean,cost_std,fill,n
Immediate,48.108302592946586,33.98314050280002,169.08423481276526,165.68761573600625,0.9305026705999999,500
TWAP,-2.764680567820723,41.27093603867743,6.758030246539796,7.8815861146093775,1.0,500
VWAP,-2.3976371231857567,38.71035911067172,5.510056177531446,5.640716805287149,0.9994425992789373,500
A-C (λ=0.1),-2.7632423772663466,41.247871440120285,6.757975756517238,7.881534169326427,1.0,500
A-C (λ=1.0),-2.7501939420175727,41.04434002069029,6.757568573195722,7.881058326048231,1.0,500
A-C (λ=5.0),-2.6914710697823385,40.21569921234578,6.757296218220862,7.878880896645848,1.0,500
