strategy,n_simulations,is_mean_bps,is_median_bps,is_std_bps,is_p5_bps,is_p95_bps,cost_mean_usd,cost_std_usd,vwap_mean_bps,avg_child_orders,fill_rate
Immediate,500,46.4569787080739,36.682919704723034,33.17840677500578,5.990667352426716,100.50000000000031,166.26580148367916,164.57925768078445,49.555135913158644,1.0,0.836
TWAP,500,0.0438012882039668,1.0968964549272542,33.245886738998344,-53.20521127683696,52.16386227461525,6.776575583859371,7.835134392295896,2.998913010408277,60.0,1.0
VWAP,500,-0.057300477589199546,0.976099002794768,32.833190983933974,-53.73796600896658,52.128192100744435,5.5445731170766255,5.663286017456858,2.9029635013717416,59.138,0.996
VWAP (aggressive),500,1.0794189971947181,2.4027952271606408,29.413906284452132,-46.99810546538782,49.094473359398386,9.08040685454078,11.320391341474636,4.065735353456511,52.538,0.986
A-C (λ=0.01),500,0.04413872039034527,1.096730919697654,33.2436722386844,-53.20504438284315,52.1626472425011,6.7765693354883485,7.835130293164109,2.9992591003707747,60.0,1.0
A-C (λ=0.1),500,0.04716082284769937,1.0952415168554084,33.223822626218514,-53.20354237184114,52.15171513830931,6.776513966490558,7.835093282940388,3.0023589393313177,60.0,1.0
A-C (λ=1.0),500,0.07598585519630115,1.0670758321191682,33.032907245454005,-53.1885257318057,52.03366931429626,6.776043159315272,7.834712692606608,3.0319437577905983,60.0,1.0
A-C (λ=5.0),500,0.17936082862699504,1.0535059988171196,32.31513574278763,-53.121862180654794,51.51371717159091,6.775516265006132,7.832894126258981,3.1383629568011213,60.0,1.0
